1,ATHOMEJP
2,BLIC.NET
3,'DARS-IP'
4,-Reserved
5,SATelcom
6,Smile Communications
7,NetVision
8,1&1 Internet
9,23VNET
10,2COM
11,360Networks (USA)
12,5th Floor
13,Telekom Austria
14,AAPT
15,ABCOM Shpk
16,ACANTHO
17,ACCESSKENYA GROUP
18,ACN
19,ADJIB
20,AEMCOM multicommunication company
21,AFNET
22,AIST
23,AKADO-Ekaterinburg
24,AKADO-Stolitsa
25,ALGTEL
26,AMBRA
27,Amen Dedicated
28,AMiS
29,ANTENNA HUNGARIA Magyar Musorszoro es Radiohirkozlesi Zartkoruen Mukodo Reszvenytarsasag
30,ANTIK Telecom
31,ARIA
32,ARTA
33,ARTNET
34,AS29073
35,ASMedi
36,ASTA-NET MALDZINSKI
37,AS_TULATEL Rostelecom
38,AT&T
39,AT&T Wireless Service
40,AUGERE-Pakistan
41,AVANET multiservice network
42,AVIEL
43,AVK-Wellcom
44,AZQTEL
45,Abissnet sh.a.
46,Access Communications
47,Adam Internet
48,Administracion Nacional de Telecomunicaciones
49,Aero 2
50,Agentia pentru Administrarea Retelei de Informatica pentru Educatie si Cercetare
51,Aircel
52,Alands Datakommunikation
53,Alaska Communications Systems Group
54,AllTele Allmanna Svenska Telefonaktiebolaget
55,Alliance Broadband Services
56,Allstream
57,AlmaTV
58,Altibox
59,America Movil Peru C.
60,Amis Telekom
61,Amnet IT Services
62,Anders Telecom
63,AngelSoft ET
64,Annet
65,Antenna-Garant
66,Anvia
67,Arab Company For Internet & Communications Services (AwalNet)
68,Aria Rasana Tadbir
69,Arkhangelsk Television Company
70,Armenia Telephone Company
71,Armstrong Cable Services
72,Arrowhead
73,ArtX
74,Asahi Net
75,Ask4
76,Asket
77,Astarta
78,Astelit
79,Astra
80,Atlantic Broadband Finance
81,Augere Wireless Broadband Bangladesh
82,Axtel
83,B.Net Hrvatska
84,BALTICOM
85,BANDA ANCHA
86,BBBell - Telecommunication Services
87,BBned
88,BELL MOBILITY
89,BELNET
90,BH Telecom Sarajevo
92,BIG Telecom
93,Bright House Networks
94,BSES TeleCom
95,BT Italia
96,BTC-GATE1
97,BTnet UK Regional network
98,Babillard Synapse
99,Bahnhof Internet
100,Baikal-TransTeleCom
101,Baja Broadband
102,Baktelekom
103,Balticum TV
104,Banda Ancha
105,Bashinformsvyaz
106,Batelco
107,Bayan Telecommunications
108,Baykalwestcom
109,BeST
110,Beam Telecom
111,Beijing Dian-Xin-Tong Network Technologies
112,Beirel Telecom
113,BelABM Ukraine
114,Belgacom regional
115,Belize Telemedia
116,Bell Aliant Regional Communications
117,Bell Canada
118,BellSouth.net
119,BeotelNet-ISP
120,Bergon
121,Best ISP
122,Bezeqint Internet Backbone
123,Bharti Airtel
124,Bharti Airtel GPRS Service
125,Binariang Berhad
126,Bite Lietuva
127,BitterNet
128,Blizoo Media and Broadband EAD
129,Bouygues Telecom
130,Bredband2
131,Bresnan Communications
132,British Sky Broadcasting
133,Broadband Pacenet
134,Broadnet
135,Broadstripe
136,BruNet ISP
137,Bryansk Svyaz-TV
138,Buckeye Cablevision
139,Bulgarian Telecommunication Company
140,Bulsatcom
141,Business Telecom Tavkozlesi Nyilvanosan Mukodo Reszvenytarsasag
142,Business network
143,C&M Communication
144,CA2
145,CABLE ONE
146,Cablecolor
147,Cablevision
148,CABOTVM.PT
149,CAIW Diensten
150,CAMNET
151,CANL
152,CBEYOND Communications
153,CCS
154,CD-Telematika
155,Cegetel La Reunion
156,CELL-C
157,CHILE
158,CHINA RAILWAY Internet(CRNET)
159,CHP Kurilov Sergey Oleksandrovich
160,CITelecom
161,CJ-CABLENET
162,CNCGROUP China169 Backbone
163,CNCGROUP IP network China169 Beijing Province Network
164,COGECO Cable Canada
165,COLT Technology Services Group
167,COMSTAR-Regions
169,CONNEXIA
170,COSTARRICENSE
171,CSIT
172,CTE
173,CW BARBADOS
174,CWJAMAICA
175,Cable & Wireless Panama
176,Cable & Wireless Worldwide
177,Cable Bahamas
178,Cable ISP in India
179,Cable Onda
180,Cable y Telecomunicaciones Galicia
181,Cablecom Networking
182,Cablemas Telecomunicaciones
183,Cabletel DOOEL Skopje
184,Cableuropa - ONO
185,Cablevision Red
186,Cablevision Systems
187,Cablevisión
188,Cabovisao
189,California State University Network
190,CallPlus Services
191,Cambrium IT Services
192,Canaca-com
193,Caucasus Online
194,Cavalier Telephone
195,Celcom Internet Service Provider
196,Cellco Partnership DBA Verizon Wireless
197,Cellcom Israel
198,Centennial de Puerto Rico
199,Central telegraph
200,Chandra Net
201,Charter Communications
202,China Education and Research Network Center
203,China Mobile communications
204,China Networks Inter-Exchange
205,China Telecom (Group)
206,China Unicom IP network China169 Guangdong province
207,China Unicom Shanghai network
208,Chubu Telecommunications Company
209,Cifrovye Dispetcherskie Sistemy
210,Cincinnati Bell Telephone
211,CityLink
212,Clearwire
213,Closed Intelbi
214,Closed Oskolnet
215,Closed SeverTransTeleCom
216,Closed SibTransTelecom
217,Closed TransTeleCom
218,Clouditalia Communications
219,CoProSys
220,Cogeco Cable
221,Cogent/PSI
222,Colba Net
223,Colombia
224,Columbia-Telecom
225,Columbus Communications Trinidad
226,Com Hem Sweden
227,ComClark Network & Technology
228,ComX Networks
229,Comcast Cable Communications
230,Commercial Information Networks
231,Commercial Users
232,Community Network Center
233,Comnet Bulgaria
234,Companhia de Telecomunicacoes de Macau SARL
235,Companhia de Telecomunicacoes do Brasil Central
236,Company NICOS
237,Company SibGroupInvest
238,Company Skala
239,Company TransTeleCom
240,Compañía Dominicana de Teléfonos
241,Comporium Communications
242,Computer Network Information Center
243,Comstar Regions
244,Comstar-Regions
245,Concepts ICT
246,Consolidated Communications
247,Convex-Tagil-Center
248,Corporación Telemic C.A.
249,CosmosTV
250,Cosmote Mobile Telecommunications
251,Courier Plus
252,Covad Communications
253,Cox Communications
254,Creative Direct Marketing Solutions
255,Credolink ISP
256,Cricket Communications
257,Crimean Electronic Communication
258,Crnogorski Telekom a.d.Podgorica
